race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,6,6,ヤマイチリリー,牝,3,54.0,498,2,山崎誠,佐藤博,,1,1:38.0,41.0,7-7-4-3,1,498,2
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,7,8,ゴールドレーベン,牡,3,56.0,465,-1,酒井忍,岩本洋,,2,1:38.5,41.9,2-2-2-2,8,465,-1
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,3,3,カミニート,牝,3,54.0,441,1,和田譲,鈴木義,,3,1:38.6,40.1,11-11-10-9,10,441,1
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,4,4,ヴァラロス,牡,3,56.0,467,2,森泰斗,山崎裕,,4,1:39.3,41.6,9-9-8-7,4,467,2
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,6,7,サンエイジロー,牡,3,56.0,476,5,矢野貴,高月賢,,5,1:39.8,43.4,1-1-1-1,3,476,5
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,8,10,キャンプファイヤー,牡,3,56.0,477,4,西啓太,山崎裕,,6,1:39.8,42.5,8-8-7-4,11,477,4
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,5,5,クレウーサ,牝,3,50.0,479,-7,神尾香,小澤宏,,7,1:40.0,43.0,6-5-5-4,9,479,-7
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,2,2,マロンフエルテ,牝,3,54.0,472,-2,拜原靖,久保勇,,8,1:40.1,41.8,10-10-11-10,5,472,-2
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,7,9,ナチュラルボーン,牡,3,56.0,478,5,町田直,内田勝,,9,1:40.7,43.7,3-3-5-8,2,478,5
2022/01/01,川崎,1,２０２２幕開け特別３歳２,1500,ダ,左,良,晴,11,8,11,ベニヒメ,牝,3,54.0,444,-3,笹川翼,高月賢,,10,1:41.0,44.2,4-4-3-6,6,444,-3
