race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2022/01/10,船橋,1,Ｃ３ ４歳未出走未受賞,1200,ダ,左,稍重,曇,6,4,4,プロディジーバイオ,牡,4,56.5,497,-2,笹川翼,新井清,,1,1:18.0,39.7,2-2-2,3,497,-2
2022/01/10,船橋,1,Ｃ３ ４歳未出走未受賞,1200,ダ,左,稍重,曇,6,3,3,キープファイト,牡,4,56.5,0,0,和田譲,稲益貴,,2,1:18.0,39.8,1-1-1,2,0,0
2022/01/10,船橋,1,Ｃ３ ４歳未出走未受賞,1200,ダ,左,稍重,曇,6,6,6,モッツアン,牡,4,56.5,487,-6,小杉亮,矢内博,,3,1:18.5,39.6,5-5-5,1,487,-6
2022/01/10,船橋,1,Ｃ３ ４歳未出走未受賞,1200,ダ,左,稍重,曇,6,2,2,グアパ,牝,4,54.5,501,-12,仲野光,山下之,,4,1:19.7,41.1,3-3-3,5,501,-12
2022/01/10,船橋,1,Ｃ３ ４歳未出走未受賞,1200,ダ,左,稍重,曇,6,5,5,ランプーン,牡,4,56.5,0,0,野澤憲,山田信,,5,1:19.7,41.1,4-4-4,4,0,0
2022/01/10,船橋,1,Ｃ３ ４歳未出走未受賞,1200,ダ,左,稍重,曇,6,1,1,シュウエットカズ,牡,4,56.5,0,0,西村栄,矢内博,,,,,,,0,0
2022/01/10,船橋,2,３歳八,1200,ダ,左,稍重,曇,9,4,4,サティスファイ,牡,3,56.5,457,8,澤田龍,坂本昇,,1,1:17.7,39.6,2-1-2,1,457,8
2022/01/10,船橋,2,３歳八,1200,ダ,左,稍重,曇,9,3,3,レッドアンドブルー,牝,3,54.5,438,-12,和田譲,伊藤滋,,2,1:19.1,40.4,5-5-5,2,438,-12
2022/01/10,船橋,2,３歳八,1200,ダ,左,稍重,曇,9,1,1,ミキノケショウバコ,牝,3,54.5,472,-1,秋元耕,平山真,,3,1:19.8,41.7,1-2-1,7,472,-1
2022/01/10,船橋,2,３歳八,1200,ダ,左,稍重,曇,9,2,2,フォーカスナチュレ,セ,0,56.5,432,0,小杉亮,矢内博,,4,1:19.9,40.2,9-9-9,5,432,0
2022/01/10,船橋,2,３歳八,1200,ダ,左,稍重,曇,9,8,8,アイノハリケーン,牡,3,56.5,467,5,山口達,阿井正,,5,1:20.0,41.8,4-3-3,8,467,5
2022/01/10,船橋,2,３歳八,1200,ダ,左,稍重,曇,9,8,9,リュウノウィー,牝,3,54.5,473,-1,福原杏,齊藤敏,,6,1:20.2,41.8,3-4-4,3,473,-1
2022/01/10,船橋,2,３歳八,1200,ダ,左,稍重,曇,9,7,7,バジガクフローレス,牡,3,56.5,399,-5,臼井健,山中尊,,7,1:20.5,41.2,7-8-8,4,399,-5
2022/01/10,船橋,2,３歳八,1200,ダ,左,稍重,曇,9,6,6,ワンタイム,牝,3,54.5,413,-10,西村栄,玉井勝,,8,1:20.9,41.8,6-7-7,9,413,-10
2022/01/10,船橋,2,３歳八,1200,ダ,左,稍重,曇,9,5,5,ユカリン,牡,3,56.5,479,14,濱田達,伊藤滋,,9,1:21.2,42.3,8-6-6,6,479,14
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,6,8,ペイシャムスビ,牝,4,54.5,496,16,張田昂,張田京,,1,1:16.0,38.7,5-5-5,1,496,16
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,3,3,フェーバーラッシュ,牡,4,56.5,499,-1,笹川翼,山下之,,2,1:16.0,37.7,11-10-10,2,499,-1
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,1,1,ベルベストエバー,牡,4,56.5,502,-5,矢野貴,川島一,,3,1:16.5,39.2,6-4-2,3,502,-5
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,4,4,リュウノスターダム,牡,8,57.5,496,2,福原杏,齊藤敏,,4,1:16.9,39.4,7-7-8,7,496,2
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,5,5,ゲツレンカ,牝,4,54.5,442,-5,町田直,齊藤敏,,5,1:17.4,40.1,4-6-6,5,442,-5
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,8,12,ネオエンジェル,牝,6,54.5,433,-1,岡田大,冨田敏,,6,1:17.6,39.9,8-8-9,12,433,-1
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,7,9,アルファルージュ,牝,8,54.5,473,5,庄司大,石井勝,,7,1:17.7,38.7,12-12-12,10,473,5
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,7,10,ジョージバローズ,セ,0,56.5,483,7,左海誠,林正人,,8,1:18.1,40.2,10-9-7,6,483,7
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,5,6,ビドウ,牝,7,50.5,420,-3,神尾香,渋谷博,,9,1:18.4,39.8,9-11-11,9,420,-3
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,2,2,ゴールドパラダイス,牝,6,54.5,529,5,山口達,林正人,,10,1:18.6,41.7,1-1-1,4,529,5
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,6,7,ユイアンデービス,牝,4,54.5,441,-4,山崎誠,玉井昇,,11,1:19.5,42.4,2-2-3,11,441,-4
2022/01/10,船橋,3,Ｃ３七 八,1200,ダ,左,稍重,曇,12,8,11,チェリーブロード,牝,4,54.5,395,-22,川島正,渋谷博,,12,1:19.5,42.3,3-3-4,8,395,-22
2022/01/10,船橋,4,Ｃ３七 八,1500,ダ,左,稍重,曇,9,8,8,ハイドアンドシーク,牡,4,56.5,549,8,森泰斗,山中尊,,1,1:38.5,39.3,5-3-3-2,1,549,8
2022/01/10,船橋,4,Ｃ３七 八,1500,ダ,左,稍重,曇,9,7,7,エメラルストロング,牝,7,54.5,457,4,本橋孝,石井勝,,2,1:38.8,39.0,6-6-6-6,6,457,4
2022/01/10,船橋,4,Ｃ３七 八,1500,ダ,左,稍重,曇,9,4,4,ブラウンザウバー,牡,4,56.5,476,-4,矢野貴,岡林光,,3,1:39.0,39.6,4-5-4-4,2,476,-4
2022/01/10,船橋,4,Ｃ３七 八,1500,ダ,左,稍重,曇,9,6,6,ティトローネ,牡,7,56.5,512,2,岡村健,岡林光,,4,1:39.2,40.2,1-1-1-1,3,512,2
2022/01/10,船橋,4,Ｃ３七 八,1500,ダ,左,稍重,曇,9,3,3,ラストプラム,牝,7,54.5,439,0,岡村裕,今井輝,,5,1:39.9,39.9,9-9-8-7,5,439,0
2022/01/10,船橋,4,Ｃ３七 八,1500,ダ,左,稍重,曇,9,2,2,アルコンシチー,牡,5,55.5,458,-5,七夕裕,箕輪武,,6,1:40.3,40.0,7-7-9-9,4,458,-5
2022/01/10,船橋,4,Ｃ３七 八,1500,ダ,左,稍重,曇,9,8,9,モエレレジェンド,牡,6,56.5,481,1,濱田達,齊藤敏,,7,1:40.3,41.2,2-2-2-3,7,481,1
2022/01/10,船橋,4,Ｃ３七 八,1500,ダ,左,稍重,曇,9,5,5,ジャンティーユ,牝,8,51.5,451,0,木間龍,渋谷博,,8,1:40.6,40.6,8-8-7-8,9,451,0
2022/01/10,船橋,4,Ｃ３七 八,1500,ダ,左,稍重,曇,9,1,1,ゴッドデサフィオ,牡,4,56.5,452,1,臼井健,凾館一,,9,1:40.6,41.0,3-4-5-5,8,452,1
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,7,10,ビギナーズラック,牡,7,56.5,506,1,澤田龍,凾館一,,1,1:36.9,38.2,11-11-11-9,7,506,1
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,3,3,ジョイガナール,牡,4,56.5,518,-4,小杉亮,矢野義,,2,1:37.0,39.4,4-4-4-4,6,518,-4
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,6,8,クイックワーカー,セ,0,56.5,476,-3,笹川翼,川島一,,3,1:37.1,40.1,2-2-2-1,2,476,-3
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,8,12,フロントフリップ,牡,5,56.5,526,5,石崎駿,米谷康,,4,1:37.3,40.1,3-3-3-3,5,526,5
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,7,9,フルミント,牝,5,54.5,501,6,森泰斗,米谷康,,5,1:37.4,39.0,9-9-8-8,4,501,6
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,2,2,トリニタリアニズム,牡,4,56.5,526,2,川島正,山田信,,6,1:37.9,39.8,8-7-7-6,8,526,2
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,5,5,イポラニ,牝,4,54.5,494,1,張田昂,張田京,,7,1:38.0,40.3,5-5-5-5,1,494,1
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,5,6,ガレア,牡,4,56.5,480,2,藤本現,佐々功,,8,1:38.1,39.2,12-12-12-11,9,480,2
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,4,4,インザホッパー,牡,4,56.5,476,-9,山崎誠,山本学,,9,1:38.2,39.7,7-8-9-10,10,476,-9
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,6,7,ヒラボククイーン,牝,5,54.5,465,11,岡村健,渋谷博,,10,1:39.0,40.4,10-10-10-12,12,465,11
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,8,11,キタノマンゲツ,牡,4,56.5,453,5,臼井健,山中尊,,11,1:39.0,41.2,6-6-6-7,11,453,5
2022/01/10,船橋,5,Ｃ２三 四,1500,ダ,左,稍重,曇,12,1,1,コニャックダイヤ,牝,4,54.5,463,25,矢野貴,新井清,,12,1:39.9,43.0,1-1-1-2,3,463,25
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,6,7,アチェロイス,牝,5,54.5,447,-2,笹川翼,岡林光,,1,1:14.7,38.0,2-2-2,1,447,-2
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,5,5,ネージュフレーズ,牝,7,54.5,446,-3,左海誠,渡邊貴,,2,1:15.0,38.5,1-1-1,4,446,-3
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,6,8,ラッキーユー,セ,0,56.5,479,4,矢野貴,山田信,,3,1:15.7,38.9,3-3-3,2,479,4
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,8,11,フォースウィズユー,牝,4,53.5,542,1,篠谷葵,山田信,,4,1:15.8,38.7,6-6-5,5,542,1
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,4,4,ハルバルキタゼ,セ,0,56.5,447,3,本橋孝,稲益貴,,5,1:15.9,38.1,11-10-9,9,447,3
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,7,10,サダムシオイノモリ,牡,6,56.5,518,3,森泰斗,稲益貴,,6,1:15.9,38.8,9-8-7,3,518,3
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,5,6,サンライズブルーム,牡,4,56.5,476,0,山林信,田邊陽,,7,1:16.2,39.1,7-7-8,8,476,0
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,3,3,マーメイドソング,牝,4,54.5,452,-10,藤本現,伊藤滋,,8,1:16.3,38.8,8-9-10,10,452,-10
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,2,2,マメニーニャ,牝,4,54.5,403,-9,橋本直,平山真,,9,1:16.4,38.2,10-11-11,11,403,-9
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,8,12,ツキマデトドケ,牡,5,56.5,518,3,山中悠,伊藤滋,,10,1:16.6,39.6,5-4-6,7,518,3
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,1,1,オープンワールド,牡,4,56.5,501,-2,山崎誠,渡邊貴,,11,1:17.3,40.3,4-5-4,6,501,-2
2022/01/10,船橋,6,Ｃ２三 四,1200,ダ,左,稍重,曇,12,7,9,ラヴィテスミラノ,牡,4,56.5,489,6,柿本量,宮下靖,,12,1:18.5,39.9,12-12-12,12,489,6
2022/01/10,船橋,7,Ｃ１四 五,1200,ダ,左,稍重,曇,11,8,10,モズハッピーロード,牡,4,55.5,505,1,七夕裕,平山真,,1,1:14.8,37.1,7-8-8,5,505,1
2022/01/10,船橋,7,Ｃ１四 五,1200,ダ,左,稍重,曇,11,4,4,カールスバート,牡,4,56.5,474,8,森泰斗,齊藤敏,,2,1:14.8,37.8,3-3-3,4,474,8
2022/01/10,船橋,7,Ｃ１四 五,1200,ダ,左,稍重,曇,11,7,9,ハクサンクラーケン,牡,4,56.5,469,6,野澤憲,森　始,,3,1:14.8,38.1,2-2-2,3,469,6
